"id","ing"
48616,"ginger"
48616,"cumin"
48616,"mango"
48616,"vegetable_oil"
48616,"chicken"
48616,"rice"
48616,"coconut"
48616,"turmeric"
48617,"cane_molasses"
48617,"vinegar"
48617,"lemon_juice"
48617,"onion"
48617,"raisin"
48617,"pear"
48617,"ginger"
48617,"vegetable_oil"
48617,"cider"
48618,"coriander"
48618,"peanut_oil"
48618,"pepper"
48618,"mustard"
48618,"onion"
48618,"fenugreek"
48618,"chicken_broth"
48618,"lime_juice"
48618,"cumin"
48618,"ginger"
48618,"carrot"
48618,"yogurt"
48618,"lime_peel_oil"
48618,"seed"
48618,"turmeric"
48619,"coriander"
48619,"wheat"
48619,"black_pepper"
48619,"cayenne"
48619,"ginger"
48619,"buttermilk"
48619,"bell_pepper"
48619,"vegetable_oil"
48619,"chicken"
48619,"turmeric"
48620,"honey"
48620,"cardamom"
48620,"almond"
48620,"egg"
48621,"butter"
48621,"wheat"
48621,"cardamom"
48621,"vanilla"
48621,"pistachio"
48621,"cinnamon"
48621,"egg"
48621,"cream"
48622,"coriander"
48622,"fenugreek"
48622,"pepper"
48622,"onion"
48622,"lime_juice"
48622,"cayenne"
48622,"cumin"
48622,"ginger"
48622,"shrimp"
48622,"lime"
48622,"vegetable_oil"
48622,"rice"
48622,"coconut"
48622,"turmeric"
48623,"wheat"
48623,"milk_fat"
48623,"cardamom"
48623,"vanilla"
48623,"strawberry"
48623,"lemon"
48623,"cream"
48623,"egg"
48623,"milk"
48623,"wine"
48624,"butter"
48625,"butter"
48625,"mango"
48625,"wheat"
48625,"cream_cheese"
48625,"vanilla"
48625,"egg"
48626,"tomato"
48626,"olive_oil"
48626,"lemon_juice"
48626,"cumin"
48626,"parsley"
48626,"chickpea"
48626,"cucumber"
48626,"bell_pepper"
48626,"garlic"
48627,"coriander"
48627,"cinnamon"
48627,"black_pepper"
48627,"cayenne"
48627,"cumin"
48627,"ginger"
48627,"saffron"
48627,"bell_pepper"
48628,"coriander"
48628,"tomato"
48628,"onion"
48628,"cardamom"
48628,"black_pepper"
48628,"lime_juice"
48628,"cumin"
48628,"ginger"
48628,"garlic"
48628,"bell_pepper"
48628,"yogurt"
48628,"chicken"
48628,"mint"
48628,"cinnamon"
48629,"olive_oil"
48629,"lemon_juice"
48629,"ginger"
48629,"white_wine"
48629,"mace"
48629,"garlic"
48629,"chicken"
48629,"coriander"
48629,"vinegar"
48629,"onion"
48629,"cayenne"
48629,"cumin"
48629,"nutmeg"
48629,"cinnamon"
48629,"yogurt"
48629,"turmeric"
48630,"coriander"
48630,"vinegar"
48630,"cinnamon"
48630,"cardamom"
48630,"cumin"
48630,"butter"
48630,"wine"
48630,"turmeric"
48631,"butter"
48631,"cilantro"
48631,"lemon_juice"
48631,"garlic"
48631,"zucchini"
48631,"rice"
48631,"shrimp"
48632,"coriander"
48632,"butter"
48632,"cilantro"
48632,"lemon_juice"
48632,"onion"
48632,"black_pepper"
48632,"cayenne"
48632,"cumin"
48632,"saffron"
48632,"garlic"
48632,"ginger"
48632,"yogurt"
48632,"chicken"
48632,"turmeric"
48633,"tomato"
48633,"vinegar"
48633,"olive_oil"
48633,"black_pepper"
48633,"cumin"
48633,"ginger"
48633,"garlic"
48633,"bell_pepper"
48633,"yogurt"
48633,"chicken"
48633,"cream"
48634,"vinegar"
48634,"papaya"
48634,"apple"
48634,"onion"
48634,"pear"
48634,"cayenne"
48634,"ginger"
48634,"black_pepper"
48634,"bean"
48634,"mango"
48634,"pineapple"
48634,"cider"
48635,"coriander"
48635,"olive_oil"
48635,"onion"
48635,"vinegar"
48635,"cayenne"
48635,"raisin"
48635,"white_wine"
48635,"mint"
48636,"cilantro"
48636,"yogurt"
48636,"lime_juice"
48636,"cayenne"
48636,"ginger"
48636,"scallion"
48637,"cilantro"
48637,"cayenne"
48637,"lime_juice"
48637,"cumin"
48637,"ginger"
48637,"chickpea"
48637,"cucumber"
48637,"bell_pepper"
48637,"yogurt"
48637,"mint"
48638,"coriander"
48638,"pepper"
48638,"lemon_juice"
48638,"fenugreek"
48638,"ginger"
48638,"garlic"
48638,"milk"
48638,"tomato"
48638,"beef"
48638,"onion"
48638,"cumin"
48638,"bay"
48638,"milk_fat"
48638,"cinnamon"
48638,"turmeric"
48638,"vegetable_oil"
48638,"rice"
48638,"bell_pepper"
48639,"turkey"
48639,"coriander"
48639,"pepper"
48639,"onion"
48639,"potato"
48639,"lime_juice"
48639,"cumin"
48639,"ginger"
48639,"fenugreek"
48639,"carrot"
48639,"garlic"
48639,"vegetable_oil"
48639,"coconut"
48639,"turmeric"
48640,"mango"
48640,"nutmeg"
48640,"cinnamon"
48640,"watermelon"
48640,"mint"
48640,"ginger"
48641,"butter"
48641,"wheat"
48641,"cardamom"
48641,"vanilla"
48641,"cocoa"
48641,"milk_fat"
48641,"egg"
48641,"milk"
48642,"butter"
48642,"olive_oil"
48642,"wheat"
48642,"thyme"
48642,"onion"
