"id","ing"
48388,"almond"
48388,"egg"
48388,"milk"
48389,"butter"
48389,"wheat"
48389,"yeast"
48389,"vanilla"
48389,"pecan"
48389,"cinnamon"
48389,"lemon"
48389,"egg"
48389,"milk"
48390,"cane_molasses"
48390,"vinegar"
48390,"pork"
48390,"wheat"
48390,"beef"
48390,"onion"
48390,"parsley"
48390,"bell_pepper"
48390,"pepper"
48390,"vegetable_oil"
48390,"tamarind"
48390,"cream"
48390,"egg"
48390,"milk"
48390,"bread"
48391,"butter"
48391,"pork"
48391,"wheat"
48391,"onion"
48391,"pepper"
48391,"veal"
48391,"egg"
48391,"milk"
48391,"bread"
48392,"wheat"
48392,"carrot"
48392,"lemon"
48392,"almond"
48392,"egg"
48393,"butter"
48393,"wheat"
48393,"almond"
48393,"lemon"
48393,"egg"
48394,"green_bell_pepper"
48394,"celery_oil"
48394,"corn"
48394,"tabasco_pepper"
48394,"lettuce"
48394,"carrot"
48394,"garlic"
48394,"vegetable_oil"
48394,"olive"
48394,"tomato"
48394,"vinegar"
48394,"onion"
48394,"beet"
48394,"bell_pepper"
48394,"cucumber"
48394,"egg"
48395,"butter"
48395,"wheat"
48395,"yeast"
48395,"cardamom"
48395,"currant"
48395,"egg"
48395,"milk"
48396,"butter"
48396,"potato"
48396,"wheat"
48396,"milk"
48396,"lard"
48397,"dill"
48397,"pepper"
48397,"vegetable_oil"
48397,"fish"
48397,"caviar"
48397,"egg"
48397,"cream"
48398,"butter"
48398,"wheat"
48398,"cinnamon"
48398,"cardamom"
48398,"nutmeg"
48398,"egg"
48399,"butter"
48399,"wheat"
48399,"almond"
48399,"egg"
48400,"date"
48400,"gelatin"
48400,"vanilla"
48400,"rice"
48400,"cream"
48401,"butter"
48401,"onion"
48401,"potato"
48401,"fish"
48401,"bread"
48401,"cream"
48402,"wheat"
48402,"vanilla"
48402,"lard"
48402,"egg"
48402,"cream"
48403,"vinegar"
48403,"cabbage"
48404,"cane_molasses"
48404,"caraway"
48404,"wheat"
48404,"yeast"
48404,"fennel"
48404,"seed"
48404,"rye_flour"
48404,"orange"
48404,"vegetable_oil"
48404,"egg"
48405,"butter"
48405,"wheat"
48405,"almond"
48405,"egg"
48406,"butter"
48406,"almond"
48406,"egg"
48406,"cream"
48407,"cocoa"
48407,"egg"
48407,"vanilla"
48407,"wheat"
48407,"butter"
48408,"butter"
48408,"wheat"
48408,"yeast"
48408,"cardamom"
48408,"egg"
48408,"pear"
48408,"milk"
48409,"butter"
48409,"wheat"
48409,"almond"
48409,"egg"
48409,"milk"
48410,"butter"
48410,"wheat"
48410,"cinnamon"
48410,"egg"
48410,"corn"
48410,"black_pepper"
48410,"ginger"
48411,"butter"
48411,"egg"
48411,"almond"
48411,"wheat"
48411,"cherry"
48412,"cardamom"
48412,"almond"
48412,"raisin"
48412,"port_wine"
48412,"brandy"
48412,"cinnamon"
48412,"orange"
48412,"wine"
48413,"butter"
48413,"cane_molasses"
48413,"wheat"
48413,"apple"
48413,"vanilla"
48413,"walnut"
48413,"nutmeg"
48413,"cinnamon"
48413,"lard"
48413,"egg"
48413,"milk"
48414,"butter"
48414,"lemon"
48414,"cardamom"
48414,"wheat"
48414,"raisin"
48414,"egg"
48414,"milk"
48415,"butter"
48415,"wheat"
48415,"whole_grain_wheat_flour"
48415,"rye_flour"
48415,"yeast"
48416,"butter"
48416,"nut"
48416,"egg"
48417,"butter"
48417,"cane_molasses"
48417,"almond"
48417,"wheat"
48417,"cream"
48418,"almond"
48418,"egg"
48419,"butter"
48419,"cream"
48419,"wheat"
48419,"potato"
48420,"red_wine"
48420,"lemon"
48420,"cinnamon"
48420,"orange"
48420,"almond"
48420,"raisin"
48421,"gelatin"
48421,"vanilla"
48421,"almond"
48421,"lingonberry"
48421,"cream"
48422,"butter"
48422,"wheat"
48422,"cinnamon"
48422,"cardamom"
48422,"black_pepper"
48422,"cream"
48423,"butter"
48423,"wheat"
48423,"vanilla"
48423,"egg"
48423,"milk"
48424,"butter"
48424,"wheat"
48424,"yeast"
48424,"egg"
48424,"raisin"
48424,"milk"
48424,"saffron"
48425,"cardamom"
48425,"wheat"
48425,"egg"
48425,"cream"
48426,"butter"
48426,"cream"
48426,"wheat"
48426,"potato"
48427,"butter"
48427,"milk_fat"
48427,"seed"
48427,"cinnamon"
48427,"cardamom"
48427,"rice"
48427,"milk"
48428,"butter"
48428,"wheat"
48428,"yeast"
48428,"citrus"
48428,"cherry"
48428,"raisin"
48428,"cardamom"
48428,"egg"
48428,"milk"
48429,"butter"
48429,"wheat"
48429,"almond"
48429,"egg"
48429,"bread"
48430,"butter"
48430,"oat"
48430,"wheat"
48430,"cream"
48431,"butter"
48431,"egg"
48431,"wheat"
48431,"milk"
48432,"cane_molasses"
48432,"butter"
48432,"wheat"
48432,"mustard"
48432,"onion"
48432,"vanilla"
48432,"parsley"
48432,"walnut"
48432,"cucumber"
48432,"lard"
48432,"chive"
48432,"vegetable_oil"
48432,"egg"
48432,"cream"
48433,"butter"
48433,"wheat"
48433,"egg"
48433,"milk"
48434,"cane_molasses"
48434,"dill"
48434,"pepper"
48434,"salmon"
